Malls,Url
The Centrepoint,https://www.thecentrepoint.com.sg/store.php?CategoryID=594
Century Square,https://www.centurysquare.com.sg/store.php?CategoryID=594
Causeway Point,https://www.causewaypoint.com.sg/store.php?CategoryID=594
