Malls,Url
Aperia,https://www.capitaland.com/sg/malls/aperia/en/stores.html
Raffles City,https://www.capitaland.com/sg/malls/rafflescity/en/stores.html
Sengkang Grand Mall,https://www.capitaland.com/sg/en/shop/malls/stores.html?mall=sengkang_grand
Bukit Panjang Plaza,https://www.capitaland.com/sg/malls/bukitpanjangplaza/en/stores.html
CQ @ Clarke Quay,https://www.capitaland.com/sg/malls/clarkequay/en/stores.html
Singpost Centre,https://www.singpostcentre.com/stores/
